Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Elite Forces: Unit 77,DS,2009,Strategy,Deep Silver,0.06,0,0,0,0.06,61,23,tbd,,Gammick Entertainment,T
NFL GameDay 2003,PS2,N/A,Sports,Unknown,0.2,0.15,0,0.05,0.4,60,23,tbd,,989 Sports,E
Namco Museum: 50th Anniversary,GC,2005,Misc,Namco Bandai Games,0.17,0.04,0,0.01,0.21,60,23,tbd,,Backbone Vancouver,E10+
Rooms: The Main Building,DS,2010,Adventure,Nintendo,0.1,0.34,0.01,0.05,0.5,56,23,tbd,,HandMade Game,E
Tokyo Beat Down,DS,2008,Action,Success,0.06,0,0,0,0.07,56,23,tbd,,Success,T
EyeToy: Operation Spy,PS2,2005,Action,Sony Computer Entertainment,0.05,0.04,0,0.01,0.1,53,23,tbd,,SCEE London Studio,E
Karaoke Revolution Party,GC,2005,Misc,Konami Digital Entertainment,0.05,0.01,0,0,0.07,80,22,tbd,,Harmonix Music Systems,E10+
Midway Arcade Treasures,PS2,2003,Misc,Midway Games,0.72,0.56,0,0.19,1.46,76,22,tbd,,Midway,T
Star Wars Starfighter: Special Edition,XB,2001,Simulation,LucasArts,0.3,0.1,0,0.02,0.42,76,22,tbd,,Secret Level,T
NCAA Basketball 10,X360,2009,Sports,Electronic Arts,0.3,0,0,0.02,0.32,75,22,tbd,,EA Canada,E
Midway Arcade Treasures,XB,2003,Misc,Midway Games,0.33,0.08,0,0.01,0.43,74,22,tbd,,Midway,T
Cars,XB,2006,Racing,THQ,0.15,0.04,0,0.01,0.2,70,22,tbd,,Rainbow Studios,E
Dragon Ball: Origins 2,DS,2010,Action,Namco Bandai Games,0.05,0.01,0.08,0.01,0.16,70,22,tbd,,Game Republic,T
Goblin Commander: Unleash the Horde,XB,2003,Strategy,Jaleco,0.06,0.02,0,0,0.08,70,22,tbd,,Jaleco Entertainment,T
NCAA March Madness 08,X360,2007,Sports,Electronic Arts,0.2,0,0,0.02,0.21,69,22,tbd,,EA Canada,E
Break 'Em All,DS,2005,Puzzle,D3Publisher,0.11,0,0,0.01,0.12,68,22,tbd,,Warashi,E
Freaky Flyers,XB,2003,Racing,Midway Games,0.02,0.01,0,0,0.03,64,22,tbd,,Midway,T
Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0,0.02,0.14,63,22,tbd,,Saffire,T
Spy Hunter 2,XB,2003,Racing,Midway Games,0.1,0.03,0,0,0.13,57,22,tbd,,Midway,T
Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0,0,0.11,56,22,tbd,,Koei,E
New Legends,XB,2002,Action,THQ,0.07,0.02,0,0,0.09,56,22,tbd,,Infinite Machine,T
Midway Arcade Treasures 2,GC,2004,Misc,Midway Games,0.13,0.03,0,0,0.16,74,21,tbd,,Backbone Entertainment,M
Prism: Light the Way,DS,2007,Puzzle,Eidos Interactive,0.05,0,0,0,0.05,73,21,tbd,,Game Sauce,E
Madagascar,GC,2005,Platform,Activision,0.52,0.13,0,0.02,0.66,70,21,tbd,,Toys for Bob,E10+
NHL 2K9,PS3,2008,Sports,Take-Two Interactive,0.11,0.01,0,0.01,0.13,70,21,tbd,,Visual Concepts,E10+
Disney's Meet the Robinsons,X360,2007,Action,Disney Interactive Studios,0.07,0,0,0.01,0.08,65,21,tbd,,Buena Vista Games,E10+
Rogue Ops,GC,2003,Action,Kemco,0.04,0.01,0,0,0.05,65,21,tbd,,Bits Studios,M
Harvey Birdman: Attorney at Law,PS2,2008,Adventure,Capcom,0.06,0.04,0,0.01,0.12,63,21,tbd,,High Voltage Software,T
Tube Slider,GC,N/A,Racing,Unknown,0.02,0,0,0,0.02,62,21,tbd,,Nd Cube,E
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98,61,21,tbd,,Digital Eclipse,E10+
Star Wars Trilogy: Apprentice of the Force,GBA,2004,Action,Ubisoft,0.3,0.11,0,0.01,0.42,60,21,tbd,,Ubisoft,E
The King of Route 66,PS2,2003,Racing,Sega,0.03,0.02,0,0.01,0.06,57,21,tbd,,Sega,T
GunGriffon: Allied Strike,XB,2004,Simulation,Microsoft Game Studios,0.02,0.01,0,0,0.03,55,21,tbd,,Game Arts,T
Tetris Evolution,X360,2007,Puzzle,THQ,0.08,0.02,0,0.01,0.11,52,21,tbd,,Mass Media,E
WinBack 2: Project Poseidon,PS2,2006,Shooter,Tecmo Koei,0.01,0.01,0,0,0.01,48,21,tbd,,Cavia Inc.,T
The Incredible Hulk,Wii,2008,Action,Sega,0.28,0.01,0,0.02,0.31,46,21,tbd,,Edge of Reality,T
The Pinball of the Dead,GBA,2002,Misc,Sega,0.05,0.02,0,0,0.06,79,20,tbd,,Sega,T
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,0.46,76,20,tbd,,SCEE London Studio,T
Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,0.4,0.31,0,0.1,0.81,75,20,tbd,,Midway,T
Space Bust-A-Move,DS,2008,Puzzle,Square Enix,0.1,0.02,0,0.01,0.12,71,20,tbd,,Taito Corporation,E
Master of Illusion,DS,2006,Puzzle,Nintendo,0.16,0,0.26,0.01,0.43,69,20,tbd,,Tenyo,E
IndyCar Series,PS2,2003,Racing,Codemasters,0.06,0.05,0,0.02,0.12,69,20,tbd,,Codemasters,E
Terminator 3: The Redemption,GC,2004,Shooter,Atari,0.02,0,0,0,0.02,68,20,tbd,,Paradigm Entertainment,T
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,0.16,0.13,0,0.04,0.34,67,20,tbd,,Point of View,T
Freaky Flyers,PS2,2003,Racing,Midway Games,0.05,0.04,0,0.01,0.1,66,20,tbd,,Midway Studios - San Diego,T
Unsolved Crimes,DS,2008,Adventure,Empire Interactive,0.04,0.01,0,0,0.05,66,20,tbd,,Now Production,T
Prisoner of War,XB,2002,Adventure,Atari,0.06,0.02,0,0,0.08,64,20,tbd,,Wide Games,T
Outlaw Golf 2,PS2,2004,Sports,Global Star,0.17,0.14,0,0.05,0.35,63,20,tbd,,Hypnotix,M
Cradle of Rome,DS,2008,Puzzle,Rising Star Games,0.05,0.15,0,0.03,0.24,63,20,tbd,,Cerasus Media,E
Capcom Fighting Evolution,XB,2005,Fighting,Capcom,0.03,0.01,0,0,0.04,61,20,tbd,,Capcom,T
Stacked with Daniel Negreanu,XB,2006,Misc,Myelin Media,0.02,0.01,0,0,0.03,61,20,tbd,,5000ft,T
Populous DS,DS,2008,Strategy,Rising Star Games,0.07,0,0.02,0.01,0.09,60,20,tbd,,Genki,E10+
NHL FaceOff 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,55,20,tbd,,989 Sports,E
Tak: The Great Juju Challenge,XB,2005,Platform,THQ,0.05,0.02,0,0,0.07,75,19,tbd,,Avalanche Software,E
Tiger Woods PGA Tour 2001,PS2,2001,Sports,Electronic Arts,0.36,0.28,0,0.09,0.74,74,19,tbd,,Stormfront Studios,E
Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.06,0.05,0,0.02,0.13,73,19,tbd,,Climax Group,E
Summoner: A Goddess Reborn,GC,2003,Role-Playing,THQ,0.04,0.01,0,0,0.05,72,19,tbd,,Cranky Pants Games,T
Spy Hunter,XB,2002,Racing,Midway Games,0.25,0.07,0,0.01,0.34,71,19,tbd,,Point of View,T
ATV Quad Power Racing 2,PS2,2003,Racing,Acclaim Entertainment,0.41,0.32,0,0.11,0.84,68,19,tbd,,Acclaim,E
Sega Superstars Tennis,DS,2008,Sports,Sega,0.29,0.37,0,0.08,0.74,65,19,tbd,,Sumo Digital,E
Future Tactics: The Uprising,GC,2004,Strategy,JoWood Productions,0.02,0,0,0,0.02,63,19,tbd,,Zed Two Limited,T
Puzzle Chronicles,PSP,2010,Puzzle,Konami Digital Entertainment,0.07,0,0,0.01,0.08,62,19,tbd,,Konami,E10+
Lost in Blue 3,DS,2007,Adventure,Konami Digital Entertainment,0.09,0.02,0.06,0.01,0.17,59,19,tbd,,Matrix Software,E10+
EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0,0.09,0.27,57,19,tbd,,SCEE London Studio,E
EA Replay,PSP,2006,Action,Electronic Arts,0.1,0,0,0.01,0.11,56,19,tbd,,Team Fusion,T
Rainbow Islands Revolution,DS,2005,Platform,Rising Star Games,0.01,0,0,0,0.02,54,19,tbd,,Marvelous Entertainment,E
NCAA GameBreaker 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,53,19,tbd,,989 Sports,E
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0,0,0.1,53,19,tbd,,Treyarch,T
Ford Bold Moves Street Racing,PSP,2006,Racing,Xplosiv,0.04,0,0,0,0.04,52,19,tbd,,Razorworks,E
Pocket Pool,PSP,2007,Action,Conspiracy Entertainment,0.04,0,0,0,0.04,37,19,tbd,,Conspiracy Entertainment,M
Tiger Woods PGA Tour 2005,GC,2004,Sports,Electronic Arts,0.1,0.03,0,0,0.14,88,18,tbd,,EA Sports,E
NFL 2K2,XB,2002,Sports,Sega,0.13,0.04,0,0.01,0.18,87,18,tbd,,Visual Concepts,E
Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0,0.07,0.56,81,18,tbd,,Black Ops Entertainment,T
NASCAR Heat 2002,XB,2001,Racing,Infogrames,0.15,0.04,0,0.01,0.2,78,18,tbd,,Monster Games Inc.,E
Rugby 06,XB,2006,Sports,Electronic Arts,0.01,0,0,0,0.02,76,18,tbd,,,
NBA Live 2001,PS2,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1,74,18,tbd,,EA Sports,E
Carol Vorderman's Sudoku,PSP,2006,Puzzle,Xplosiv,0.05,0,0,0.01,0.07,72,18,tbd,,Empire Interactive,E
Puyo Pop Fever,GC,2004,Puzzle,Sega,0.01,0,0,0,0.01,72,18,tbd,,Sonic Team,E
Downforce,PS2,2002,Racing,Avalon Interactive,0.03,0.02,0,0.01,0.05,69,18,tbd,,SmartDog,E
QuickSpot,DS,2006,Misc,Namco Bandai Games,0.01,0,0.13,0,0.14,68,18,tbd,,Namco,E10+
Taito Legends,PS2,2005,Misc,Empire Interactive,0.06,0.04,0,0.01,0.11,68,18,tbd,,Empire Oxford,T
Home Run King,GC,2002,Sports,Sega,0.09,0.02,0,0,0.11,66,18,tbd,,Wow Entertainment,E
Micro Machines V4,PSP,2006,Racing,Codemasters,0.01,0,0,0,0.02,61,18,tbd,,Supersonic Software,E
Monster House,GC,2006,Adventure,THQ,0.11,0.03,0,0,0.14,60,18,tbd,,Artificial Mind and Movement,E10+
Cube,PSP,2007,Puzzle,D3Publisher,0.02,0,0,0,0.02,60,18,tbd,,Metia Interactive,E
Driving Emotion Type-S,PS2,2000,Racing,Electronic Arts,0.04,0.03,0.11,0.01,0.18,55,18,tbd,,Escape,E
NASCAR Thunder 2002,XB,2001,Racing,Electronic Arts,0.25,0.07,0,0.01,0.33,82,17,tbd,,EA Tiburon,E
Gradius Galaxies,GBA,2001,Shooter,Konami Digital Entertainment,0.06,0.02,0,0,0.08,78,17,tbd,,Mobile 21,E
NFL Blitz 20-02,XB,2002,Sports,Midway Games,0.07,0.02,0,0,0.09,77,17,tbd,,Point of View,E
Myst IV: Revelation,XB,2005,Adventure,Ubisoft,0.04,0.01,0,0,0.05,75,17,tbd,,Ubisoft Montreal,T
Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,0,0.09,74,17,tbd,,Rage Software,T
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,N/A,Action,Disney Interactive Studios,0.22,0.06,0,0.01,0.28,71,17,tbd,,Traveller's Tales,T
Super Swing Golf Season 2,Wii,2007,Sports,Rising Star Games,0.08,0,0.03,0.01,0.11,70,17,tbd,,"Tecmo, Ntreev Soft",E10+
Dual Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05,70,17,tbd,,Matrix Software,E
ATV Quad Power Racing 2,XB,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,0.45,68,17,tbd,,Climax Group,E
NCAA Basketball 09,PS3,2008,Sports,Electronic Arts,0.15,0,0,0.01,0.17,68,17,tbd,,EA Canada,E
Looney Tunes: Cartoon Conductor,DS,2008,Misc,Eidos Interactive,0.04,0,0,0,0.04,67,17,tbd,,Amaze Entertainment,E
Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87,65,17,tbd,,Pandemic Studios,E
Dark Arena,GBA,2002,Shooter,THQ,0.03,0.01,0,0,0.04,65,17,tbd,,Graphic State,T
Away: Shuffle Dungeon,DS,2008,Role-Playing,Majesco Entertainment,0.02,0,0,0,0.03,65,17,tbd,,"Mistwalker, Artoon",E10+
Triple Play 2002,XB,2002,Sports,Electronic Arts,0.19,0.05,0,0.01,0.25,64,17,tbd,,Pandemic Studios,E
Silent Scope 2: Dark Silhouette,PS2,2001,Shooter,Konami Digital Entertainment,0.09,0.07,0,0.02,0.19,64,17,tbd,,KCET,M
Batman: Rise of Sin Tzu,GC,2003,Action,Ubisoft,0.05,0.01,0,0,0.06,63,17,tbd,,Ubisoft Montreal,T
Furious Karting,XB,2003,Racing,Atari,0.01,0,0,0,0.01,63,17,tbd,,Babylon Software,T
Wave Rally,PS2,2001,Racing,Eidos Interactive,0.13,0.1,0,0.03,0.27,62,17,tbd,,Opus,E
The King of Fighters NeoWave,XB,2006,Fighting,SNK Playmore,0.02,0,0,0,0.02,62,17,tbd,,SNK Playmore,T
Disney's Aladdin,GBA,2003,Platform,Capcom,0.02,0.01,0,0,0.03,59,17,tbd,,Disney Interactive,E
Samurai Jack: The Shadow of Aku,GC,2004,Action,Sega,0.01,0,0,0,0.02,59,17,tbd,,Adrenium,T
Wreckless: ThE YaKuza MisSiOns,GC,2002,Racing,Activision,0.04,0.01,0,0,0.06,58,17,tbd,,Stealth Studios,T
Arctic Thunder,XB,2001,Racing,Midway Games,0.09,0.02,0,0,0.12,57,17,tbd,,Inland Productions,T
Savage Skies,PS2,2002,Shooter,Big Ben Interactive,0.04,0.03,0,0.01,0.09,56,17,tbd,,iRock Interactive,M
Dynasty Warriors DS: Fighter's Battle,DS,2007,Action,Tecmo Koei,0.04,0,0.03,0,0.07,56,17,tbd,,Koei,E10+
Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,0.09,0,0.03,0.26,55,17,tbd,,2K Shanghai,T
Brain Assist,DS,2007,Misc,Sega,0.12,0,0,0.01,0.13,53,17,tbd,,Sega,E
SX Superstar,XB,2003,Racing,Acclaim Entertainment,0.03,0.01,0,0,0.04,53,17,tbd,,Acclaim,T
Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Fighting,Eidos Interactive,0.09,0.03,0,0,0.12,43,17,tbd,,Paradox Development,M
NASCAR 2005: Chase for the Cup,XB,2004,Racing,Electronic Arts,0.34,0.1,0,0.02,0.45,86,16,tbd,,EA Tiburon,E
NCAA March Madness 2004,XB,2003,Sports,Electronic Arts,0.18,0.05,0,0.01,0.24,81,16,tbd,,EA Sports,E
Cool Boarders 2001,PS2,2001,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,78,16,tbd,,Idol Minds,E
Shox,PS2,2002,Racing,Electronic Arts,0.05,0.04,0,0.01,0.09,78,16,tbd,,Electronic Arts,E
MLB SlugFest 20-04,XB,2003,Sports,Midway Games,0.07,0.02,0,0,0.09,76,16,tbd,,Midway,E
Mat Hoffman's Pro BMX 2,XB,2002,Sports,Activision,0.15,0.04,0,0.01,0.2,75,16,tbd,,Rainbow Studios,T
Pirates: The Legend of Black Kat,XB,2002,Adventure,Electronic Arts,0.05,0.01,0,0,0.06,74,16,tbd,,Westwood Studios,T
Taito Legends,XB,2005,Misc,Empire Interactive,0.04,0.01,0,0,0.05,74,16,tbd,,Empire Oxford,T
GunGriffon Blaze,PS2,2000,Simulation,Swing! Entertainment,0.05,0.04,0,0.01,0.11,73,16,tbd,,Game Arts,T
Spy Hunter,GC,2002,Racing,Midway Games,0.16,0.04,0,0.01,0.2,71,16,tbd,,Point of View,T
Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami Digital Entertainment,0.08,0.03,0,0,0.11,70,16,tbd,,Konami,E
SNK Arcade Classics Vol. 1,PS2,2008,Misc,Ignition Entertainment,0.09,0.07,0,0.02,0.19,69,16,tbd,,SNK Playmore,T
Rally Fusion: Race of Champions,XB,2002,Racing,Activision,0.04,0.01,0,0,0.05,69,16,tbd,,Climax Group,E
Ice Age 2: The Meltdown,XB,2006,Platform,Vivendi Games,0.07,0.02,0,0,0.1,68,16,tbd,,Vivendi Games,E10+
Tron 2.0: Killer App,GBA,2004,Action,Disney Interactive Studios,0.04,0.02,0,0,0.06,68,16,tbd,,Digital Eclipse,E
Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,Adventure,505 Games,0.02,0.02,0.25,0.01,0.29,67,16,tbd,,Banpresto,T
Looney Tunes: Duck Amuck,DS,2007,Action,Warner Bros. Interactive Entertainment,0.28,0,0,0.02,0.3,66,16,tbd,,WayForward,E
Pac-Man World 3,XB,2005,Platform,Namco Bandai Games,0.11,0.04,0,0.01,0.15,65,16,tbd,,Blitz Games,E
Midway Arcade Treasures 3,GC,2005,Misc,Midway Games,0.05,0.01,0,0,0.07,65,16,tbd,,Midway,E
Namco Museum: Virtual Arcade,X360,2008,Misc,Atari,0.27,0.01,0.01,0.02,0.31,63,16,tbd,,Namco Bandai Games,E10+
Mr. Driller 2,GBA,2001,Puzzle,Namco Bandai Games,0,0,0.15,0,0.16,62,16,tbd,,Namco,E
MySims SkyHeroes,PS3,2010,Action,Electronic Arts,0.08,0.02,0,0.01,0.11,62,16,tbd,,Electronic Arts,E10+
Wreckless: ThE YaKuza MisSiOns,PS2,2002,Racing,Activision,0.11,0.08,0,0.03,0.22,60,16,tbd,,Stealth Studios,T
Luxor: The Wrath of Set,PSP,2006,Puzzle,Mumbo Jumbo,0.02,0,0,0,0.02,60,16,tbd,,MumboJumbo,E
Lethal Skies Elite Pilot: Team SW,PS2,2001,Simulation,Sammy Corporation,0.11,0.08,0,0.03,0.22,59,16,tbd,,Bit Town,E
Squeeballs Party,Wii,2009,Puzzle,Performance Designed Products,0.17,0,0,0.01,0.18,59,16,tbd,,Performance Designed Products,E10+
NBA 08,PS2,2007,Sports,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,59,16,tbd,,SCEA San Diego Studios,E
Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,Action,Game Factory,0.03,0,0,0,0.03,58,16,tbd,,Shin'en,E
MySims Party,Wii,2009,Simulation,Electronic Arts,0.17,0.02,0,0.02,0.21,56,16,tbd,,EA Games,E
NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,51,16,tbd,,SCEA,E
Malice,XB,2004,Platform,Evolved Games,0.01,0,0,0,0.01,48,16,tbd,,Argonaut Games,T
Major Minor's Majestic March,Wii,2009,Misc,Majesco Entertainment,0.05,0,0,0,0.05,46,16,tbd,,NanaOn-Sha,E
NCAA Final Four 2004,PS2,2003,Sports,Sony Computer Entertainment,0.1,0.08,0,0.03,0.2,45,16,tbd,,989 Sports,E
Mission: Impossible - Operation Surma,GBA,2003,Platform,Atari,0.03,0.01,0,0,0.04,42,16,tbd,,M4 Limited,T
EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.76,0.27,0,0.1,1.13,80,15,tbd,,Electronic Arts,E
Kelly Slater's Pro Surfer,GC,2002,Sports,Activision,0.05,0.01,0,0,0.06,80,15,tbd,,Treyarch,E
Swing Away Golf,PS2,2000,Sports,Electronic Arts,0.17,0.13,0.18,0.04,0.52,78,15,tbd,,T&E Soft,E
SplashDown,XB,2002,Racing,Atari,0.09,0.02,0,0,0.11,78,15,tbd,,Rainbow Studios,E
Dave Mirra Freestyle BMX 3,GBA,2002,Sports,Acclaim Entertainment,0.02,0.01,0,0,0.03,78,15,tbd,,Full-Fat,E
MX 2002 Featuring Ricky Carmichael,XB,2001,Racing,THQ,0.1,0.03,0,0,0.13,74,15,tbd,,Pacific Coast Power & Light,E
Blood Omen 2,GC,2002,Action,Eidos Interactive,0.04,0.01,0,0,0.05,71,15,tbd,,Crystal Dynamics,M
The King of Fighters Collection: The Orochi Saga,Wii,2008,Fighting,Ignition Entertainment,0.1,0,0,0.01,0.11,70,15,tbd,,SNK Playmore,T
TransFormers Animated: The Game,DS,2008,Action,Activision,0.15,0,0,0.01,0.16,69,15,tbd,,Artificial Mind and Movement,E
Defender,XB,2002,Misc,Midway Games,0.07,0.02,0,0,0.09,69,15,tbd,,7 Studios,T
Atari Anthology,XB,2004,Misc,Atari,0.19,0.05,0,0.01,0.25,68,15,tbd,,Digital Eclipse,E
Disney's Chicken Little,XB,2005,Platform,Disney Interactive Studios,0.1,0.03,0,0,0.14,68,15,tbd,,Avalanche Software,E10+
Outlaw Tennis,PS2,2005,Sports,Global Star,0.04,0.03,0,0.01,0.08,67,15,tbd,,Hypnotix,M
Fortress,GBA,2001,Action,Majesco Entertainment,0.23,0.08,0,0.01,0.32,64,15,tbd,,Pipe Dream Interactive,E
Gradius III and IV,PS2,2000,Shooter,Konami Digital Entertainment,0.04,0.03,0,0.01,0.08,64,15,tbd,,KCET,E
NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,61,15,tbd,,989 Sports,E
King Arthur,XB,2004,Action,Konami Digital Entertainment,0.04,0.01,0,0,0.05,61,15,tbd,,Krome Studios,T
Eragon,PSP,2006,Action,Vivendi Games,0.1,0,0,0.01,0.11,59,15,tbd,,"Amaze Entertainment, Vivendi Games",T
MLB SlugFest 2006,XB,2006,Sports,Midway Games,0.04,0.01,0,0,0.05,59,15,tbd,,Blue Shift,E10+
Star Wars: Lethal Alliance,DS,2006,Action,Ubisoft,0.08,0.01,0,0.01,0.1,57,15,tbd,,Ubisoft Casablanca,E10+
Wall-E,DS,2008,Platform,THQ,0.46,0.82,0,0.17,1.46,54,15,tbd,,Helixe,E
Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0,0.04,0.28,54,15,tbd,,Takara,E
Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,0.07,0.02,0,0.02,0.1,54,15,tbd,,Virtuos,T
Yoostar2,PS3,2011,Misc,Unknown,0.04,0.04,0,0.02,0.1,54,15,tbd,,Blitz Games Studios,T
Iridion 3D,GBA,2001,Shooter,THQ,0.33,0.12,0,0.01,0.46,53,15,tbd,,Shin'en,E
World Heroes Anthology,PS2,2007,Fighting,Ignition Entertainment,0,0,0.01,0,0.01,53,15,tbd,,SNK Playmore,T
The Incredible Hulk,DS,2008,Action,Sega,0.22,0,0,0.02,0.24,50,15,tbd,,Amaze Entertainment,E10+
Terminator 3: Rise of the Machines,GBA,2003,Action,Atari,0.04,0.02,0,0,0.06,50,15,tbd,,Taniko,T
Pirates: Duels on the High Seas,DS,2008,Action,Oxygen Interactive,0.03,0,0,0,0.03,50,15,tbd,,Oxygen Interactive,E
DICE: DNA Integrated Cybernetic Enterprises,PS2,2005,Shooter,Namco Bandai Games,0.01,0.01,0,0,0.03,48,15,tbd,,Natsume,E10+
Puyo Pop,GBA,2001,Puzzle,Sega,0.04,0.01,0,0,0.05,84,14,tbd,,Sonic Team,E
Virtua Tennis,GBA,2002,Sports,Atari,0.13,0.05,0,0,0.18,83,14,tbd,,Altron,E
NASCAR Heat 2002,PS2,2001,Racing,Infogrames,0.29,0.23,0,0.08,0.6,81,14,tbd,,Monster Games Inc.,E
Aqua Aqua,PS2,2000,Puzzle,3DO,0.05,0.04,0,0.01,0.11,79,14,tbd,,Zed Two Limited,E
NBA Live 06,GC,2005,Sports,Electronic Arts,0.25,0.07,0,0.01,0.33,76,14,tbd,,EA Canada,E
MLB SlugFest 20-04,GC,2003,Sports,Midway Games,0.03,0.01,0,0,0.04,76,14,tbd,,Midway,E
Dr. Mario / Puzzle League,GBA,2005,Puzzle,Nintendo,0.12,0.04,0.16,0.01,0.33,74,14,tbd,,Intelligent Systems,E
GT Advance 3: Pro Concept Racing,GBA,2002,Racing,THQ,0.05,0.02,0,0,0.08,74,14,tbd,,MTO,E
The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.13,0.05,0,0,0.19,72,14,tbd,,WayForward,E
Sub Rebellion,PS2,2002,Simulation,Metro 3D,0.04,0.03,0,0.01,0.08,71,14,tbd,,Racjin,T
CT Special Forces,GBA,2002,Action,LSP Games,0.02,0.01,0,0,0.03,71,14,tbd,,LSP,T
UEFA Champions League 2006-2007,PSP,2007,Sports,Electronic Arts,0.01,0,0,0,0.01,71,14,tbd,,EA Canada,E
Outlaw Golf,GC,2002,Sports,TDK Mediactive,0.06,0.02,0,0,0.08,69,14,tbd,,Hypnotix,T
Treasure World,DS,2009,Simulation,Aspyr,0.18,0,0,0.01,0.2,68,14,tbd,,Aspyr,E
Army Men: RTS,PS2,2002,Strategy,3DO,0.05,0.04,0,0.01,0.11,68,14,tbd,,Pandemic Studios,T
World Poker Tour,PSP,2006,Misc,Take-Two Interactive,0.04,0,0,0,0.04,68,14,tbd,,Coresoft,T
Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.34,66,14,tbd,,Amaze Entertainment,E10+
Defender,GC,2002,Misc,Midway Games,0.08,0.02,0,0,0.11,66,14,tbd,,Inevitable Entertainment,T
Ghost Pirates of Vooju Island,PC,2009,Adventure,DTP Entertainment,0,0.02,0,0,0.02,66,14,tbd,,Autumn Moon,T
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.42,0.01,0,0.03,0.46,65,14,tbd,,Crave,E
Animaniacs: The Great Edgar Hunt,GC,2005,Platform,Ignition Entertainment,0.02,0.01,0,0,0.03,65,14,tbd,,Warthog,E
SSX 3,GBA,2003,Sports,Electronic Arts,0.09,0.03,0,0,0.12,63,14,tbd,,Visual Impact,E
Looney Tunes: Space Race,PS2,2002,Racing,Infogrames,0.1,0.08,0,0.03,0.2,62,14,tbd,,Tantalus Interactive,E
Sudoku Gridmaster,DS,2006,Puzzle,Nintendo,0.13,0.02,0,0.01,0.17,62,14,tbd,,AI,E
Monster House,DS,2006,Adventure,THQ,0.14,0,0,0.01,0.16,62,14,tbd,,Artificial Mind and Movement,E
Legends of Wrestling II,XB,2002,Fighting,Acclaim Entertainment,0.09,0.03,0,0,0.13,62,14,tbd,,Acclaim,T
MX vs. ATV Untamed,DS,2007,Racing,THQ,0.11,0,0,0.01,0.12,61,14,tbd,,Rainbow Studios,E
Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08,61,14,tbd,,Games Farm,T
Sega Smash Pack,GBA,2002,Misc,Atari,0.23,0.08,0,0.01,0.32,60,14,tbd,,CodeFire,E
King Arthur,GC,2004,Action,Konami Digital Entertainment,0.03,0.01,0,0,0.04,60,14,tbd,,Krome Studios,T
Steal Princess,DS,N/A,Platform,Unknown,0.02,0,0,0,0.02,60,14,tbd,,Climax Entertainment,E10+
Konductra,DS,2006,Puzzle,O3 Entertainment,0.02,0,0,0,0.02,60,14,tbd,,oeFun,E
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,0.09,0.02,0,0,0.12,59,14,tbd,,Acclaim,T
